,latitude,longitude,state,station,month,air temperature - dry bulb (°c),geometry
0,-84.0,-79.49416666,SP,CRIOSFERA,1,-16.323572481936502,POINT (-79.49416666 -84)
2750,-19.53921,-49.518133,MG,CAMPINA VERDE,1,25.767921146953384,POINT (-49.518133 -19.53921)
2426,-20.10416666,-41.10694444,ES,AFONSO CLAUDIO,1,25.426809988127324,POINT (-41.10694444 -20.10416666)
2762,-19.53916666,-49.51805554,MG,CAMPINA VERDE,1,24.70659037807726,POINT (-49.51805554 -19.53916666)
2414,-20.165,-50.59499999,SP,JALES,1,25.219668258574494,POINT (-50.59499999 -20.165)
132,-23.95194444,-46.53055554,SP,BRAGANCA PAULISTA,1,22.00143593189964,POINT (-46.53055554 -23.95194444)
3122,-18.69527777,-40.39055555,ES,NOVA VENECIA,1,25.937935262005375,POINT (-40.39055555 -18.69527777)
48,-24.671654,-47.545896,SP,IGUAPE,1,26.09413082437273,POINT (-47.545896 -24.671654)
2438,-20.031457,-44.011249,MG,IBIRITE (ROLA MOCA),1,22.104166666666625,POINT (-44.011249 -20.031457)
2402,-20.165025,-50.595134,SP,JALES,1,25.219668258574305,POINT (-50.595134 -20.165025)
2390,-20.17305554,-44.87472221,MG,DIVINOPOLIS,1,23.880510752688163,POINT (-44.87472221 -20.17305554)
3014,-18.78694444,-42.94305555,MG,GUANHAES,1,23.20717104351413,POINT (-42.94305555 -18.78694444)
2774,-19.53277777,-41.09083333,MG,AIMORES,1,26.07615406440378,POINT (-41.09083333 -19.53277777)
578,-22.939883,-43.402897,RJ,RIO DE JANEIRO - JACAREPAGUA,1,26.785125448028676,POINT (-43.402897 -22.939883)
1766,-21.13305554,-48.84027777,SP,ARIRANHA,1,24.468411057722424,POINT (-48.84027777 -21.13305554)
2118,-20.54583333,-43.76944443,MG,OURO BRANCO,1,21.70095471322035,POINT (-43.76944443 -20.54583333)
3520,-16.55388888,-46.88194443,MG,UNAI,1,24.520036233163136,POINT (-46.88194443 -16.55388888)
3828,-14.408228,-44.404123,MG,MONTALVANIA,1,25.27265885396656,POINT (-44.404123 -14.408228)
1136,-22.358052,-49.028877,SP,BAURU,1,24.629633595931914,POINT (-49.028877 -22.358052)
2738,-19.5736111,-42.62222221,MG,TIMOTEO,1,24.588394421733938,POINT (-42.62222221 -19.5736111)
2378,-20.173278,-44.874944,MG,DIVINOPOLIS,1,25.197983870967718,POINT (-44.874944 -20.173278)
2354,-20.25222222,-41.18999999,ES,VENDA NOVA DO IMIGRANTE,1,22.716263440860192,POINT (-41.18999999 -20.25222222)
2342,-20.26333333,-42.18277777,MG,MANHUACU,1,22.623310448649736,POINT (-42.18277777 -20.26333333)
36,-24.71666666,-47.55,SP,IGUAPE,1,24.99296603818696,POINT (-47.55 -24.71666666)
3146,-18.676198,-39.864051,ES,SAO MATEUS,1,26.119793758977465,POINT (-39.864051 -18.676198)
2810,-19.48166666,-45.59388888,MG,DORES DO INDAIA,1,24.011277953549115,POINT (-45.59388888 -19.48166666)
2330,-20.263378,-42.182817,MG,MANHUACU,1,23.223924731182805,POINT (-42.182817 -20.263378)
3002,-18.83027777,-41.97666666,MG,GOVERNADOR VALADARES,1,26.07762527929077,POINT (-41.97666666 -18.83027777)
2450,-20.0311111,-46.00888888,MG,BAMBUI,1,23.983158212578473,POINT (-46.00888888 -20.0311111)
156,-23.85138888,-48.16444444,SP,SAO MIGUEL ARCANJO,1,22.144216658699428,POINT (-48.16444444 -23.85138888)
2318,-20.26361111,-42.18277777,MG,MANHUACU,1,22.354908195397666,POINT (-42.18277777 -20.26361111)
2306,-20.26666666,-40.3,ES,VITORIA,1,26.612724442532592,POINT (-40.3 -20.26666666)
2834,-19.45527777,-44.17333332,MG,SETE LAGOAS,1,23.95954301075273,POINT (-44.17333332 -19.45527777)
2294,-20.27083332,-40.30583333,ES,VITORIA,1,26.617105259295215,POINT (-40.30583333 -20.27083332)
144,-23.85194444,-48.16472222,SP,SAO MIGUEL ARCANJO,1,23.178539426523294,POINT (-48.16472222 -23.85194444)
3800,-14.912284,-42.808473,MG,ESPINOSA,1,26.638458882524134,POINT (-42.808473 -14.912284)
3026,-18.786842,-42.942921,MG,GUANHAES,1,23.929559116628337,POINT (-42.942921 -18.786842)
2822,-19.455288,-44.173389,MG,SETE LAGOAS,1,24.775672043010747,POINT (-44.173389 -19.455288)
1124,-22.35805555,-43.69555555,RJ,VALENCA,1,25.433741126889853,POINT (-43.69555555 -22.35805555)
446,-23.04194444,-45.52027777,SP,TAUBATE,1,23.699894635176722,POINT (-45.52027777 -23.04194444)
1112,-22.35805555,-49.02888888,SP,BAURU,1,23.481561638629586,POINT (-49.02888888 -22.35805555)
1256,-22.09833333,-43.20861111,RJ,TRES RIOS,1,25.629973118279533,POINT (-43.20861111 -22.09833333)
3444,-16.71666666,-43.86666666,MG,MONTES CLAROS,1,24.832604658311705,POINT (-43.86666666 -16.71666666)
398,-23.10166666,-48.9411111,SP,AVARE,1,23.597803460339687,POINT (-48.9411111 -23.10166666)
1316,-21.97972221,-47.88333333,SP,SAO CARLOS,1,22.83482039983336,POINT (-47.88333333 -21.97972221)
1304,-21.980353,-47.883927,SP,SAO CARLOS,1,23.71904121863796,POINT (-47.883927 -21.980353)
1292,-22.04166666,-41.05166666,RJ,CAMPOS DOS GOYTACAZES - SAO TOME,1,26.427357378214385,POINT (-41.05166666 -22.04166666)
3456,-16.68638888,-43.84388888,MG,MONTES CLAROS,1,25.638440860215034,POINT (-43.84388888 -16.68638888)
968,-22.4486111,-42.98694444,RJ,TERESOPOLIS-PARQUE NACIONAL,1,21.396594982078867,POINT (-42.98694444 -22.4486111)
1280,-22.04166666,-41.05194444,RJ,SAO TOME,1,26.05597732523337,POINT (-41.05194444 -22.04166666)
410,-23.09972221,-48.94555555,SP,AVARE,1,22.57171844127969,POINT (-48.94555555 -23.09972221)
3460,-16.686316,-43.843763,MG,MONTES CLAROS,1,25.801209677419333,POINT (-43.843763 -16.686316)
1244,-22.119867,-51.408637,SP,PRESIDENTE PRUDENTE,1,26.25273297491041,POINT (-51.408637 -22.119867)
1172,-22.33305554,-42.67722221,RJ,NOVA FRIBURGO,1,19.956766663436497,POINT (-42.67722221 -22.33305554)
1232,-22.11999999,-51.4,SP,PRESIDENTE PRUDENTE,1,25.352218040771877,POINT (-51.4 -22.11999999)
3472,-16.575667,-41.485588,MG,ITAOBIM,1,28.267159498207835,POINT (-41.485588 -16.575667)
3716,-15.31,-45.61666666,MG,CHAPADA GAUCHA,1,23.67535339118058,POINT (-45.61666666 -15.31)
1268,-22.09833333,-43.20833333,RJ,TRES RIOS,1,25.99883512544804,POINT (-43.20833333 -22.09833333)
1160,-22.33472221,-42.67694443,RJ,NOVA FRIBURGO - SALINAS,1,20.429435483870947,POINT (-42.67694443 -22.33472221)
3496,-16.55416666,-46.88194443,MG,UNAI,1,24.92491797660606,POINT (-46.88194443 -16.55416666)
980,-22.415062,-46.805292,SP,ITAPIRA,1,24.338143212209918,POINT (-46.805292 -22.415062)
3508,-16.554101,-46.881935,MG,UNAI,1,25.463037634408618,POINT (-46.881935 -16.554101)
1100,-22.37083332,-48.55722222,SP,BARRA BONITA,1,24.60384344164761,POINT (-48.55722222 -22.37083332)
1088,-22.37249999,-50.97416666,SP,RANCHARIA,1,24.64360400875592,POINT (-50.97416666 -22.37249999)
1076,-22.372832,-50.97471,SP,RANCHARIA,1,25.44835953568724,POINT (-50.97471 -22.372832)
3704,-15.44805555,-44.36638888,MG,JANUARIA,1,26.60040023030811,POINT (-44.36638888 -15.44805555)
458,-23.041668,-45.520841,SP,TAUBATE,1,24.43745519713261,POINT (-45.520841 -23.041668)
1064,-22.37388888,-44.70305555,RJ,ITATIAIA,1,12.52249367488931,POINT (-44.70305555 -22.37388888)
1148,-22.35,-43.7,RJ,VALENCA,1,24.43068486588936,POINT (-43.7 -22.35)
1052,-22.373944,-44.703111,RJ,ITATIAIA,1,13.256634227241658,POINT (-44.703111 -22.373944)
1040,-22.3761111,-41.81194444,RJ,MACAE,1,26.096953405017935,POINT (-41.81194444 -22.3761111)
1028,-22.38333333,-41.81666667,RJ,MACAE,1,25.71401964657169,POINT (-41.81666667 -22.38333333)
3532,-16.362747,-45.123801,MG,SAO ROMAO,1,26.421102150537692,POINT (-45.123801 -16.362747)
470,-22.98833333,-43.19055555,RJ,RIO DE JANEIRO - FORTE DE COPACABANA,1,26.420301755938244,POINT (-43.19055555 -22.98833333)
1016,-22.395799,-44.961909,MG,PASSA QUATRO,1,22.08037634408604,POINT (-44.961909 -22.395799)
1004,-22.3961111,-44.96166666,MG,PASSA QUATRO,1,21.296892475191235,POINT (-44.96166666 -22.3961111)
992,-22.415,-46.80527777,SP,ITAPIRA,1,23.98624914991832,POINT (-46.80527777 -22.415)
3544,-16.3625,-45.12388888,MG,SAO ROMAO,1,25.329128093272576,POINT (-45.12388888 -16.3625)
2798,-19.481935,-45.593932,MG,DORES DO INDAIA,1,24.79560931899642,POINT (-45.593932 -19.481935)
422,-23.05027777,-43.59555555,RJ,RIO DE JANEIRO-MARAMBAIA,1,26.86438172043006,POINT (-43.59555555 -23.05027777)
3134,-18.695265,-40.390572,ES,NOVA VENECIA,1,26.225537634408607,POINT (-40.390572 -18.695265)
3110,-18.69527777,-40.4075,ES,NOVA VENECIA,1,25.87879816048198,POINT (-40.4075 -18.69527777)
2182,-20.45472222,-45.45388888,MG,FORMIGA,1,23.105809265566606,POINT (-45.45388888 -20.45472222)
2210,-20.40305555,-49.96583333,SP,VOTUPORANGA,1,25.190981456993377,POINT (-49.96583333 -20.40305555)
2170,-20.45493,-45.453825,MG,FORMIGA,1,24.065524193548377,POINT (-45.453825 -20.45493)
2894,-19.356923,-40.068688,ES,LINHARES,1,27.159154928534242,POINT (-40.068688 -19.356923)
192,-23.844678,-46.143376,SP,BERTIOGA,1,27.888575268817178,POINT (-46.143376 -23.844678)
3182,-18.29166666,-40.73638888,ES,ECOPORANGA,1,26.66438172043012,POINT (-40.73638888 -18.29166666)
2222,-20.38555555,-41.18999999,ES,VENDA NOVA DO IMIGRANTE,1,22.555257746082514,POINT (-41.18999999 -20.38555555)
2906,-18.996684,-46.985935,MG,PATROCINIO,1,22.464247311827947,POINT (-46.985935 -18.996684)
2870,-19.407181,-40.539825,ES,MARILANDIA,1,26.77078272954375,POINT (-40.539825 -19.407181)
3788,-14.91277777,-42.82972221,MG,ESPINOSA,1,26.110384927993245,POINT (-42.82972221 -14.91277777)
2166,-20.455,-45.45388888,MG,FORMIGA,1,23.673118279569934,POINT (-45.45388888 -20.455)
3194,-18.29138888,-40.73638888,ES,ECOPORANGA,1,26.50450539460934,POINT (-40.73638888 -18.29138888)
2930,-18.952907,-49.525072,MG,ITUIUTABA,1,26.04946236559142,POINT (-49.525072 -18.952907)
2234,-20.385423,-41.189934,ES,VENDA NOVA DO IMIGRANTE,1,23.137768817204293,POINT (-41.189934 -20.385423)
2246,-20.35976,-47.77522,SP,ITUVERAVA,1,25.35994623655914,POINT (-47.77522 -20.35976)
2966,-18.917072,-48.255657,MG,UBERLANDIA,1,25.59381720430109,POINT (-48.255657 -18.917072)
2978,-18.91694443,-48.25555555,MG,UBERLANDIA,1,24.6102150537635,POINT (-48.25555555 -18.91694443)
2942,-18.95277777,-49.52499999,MG,ITUIUTABA,1,24.785021864207017,POINT (-49.52499999 -18.95277777)
12,-24.96305555,-48.41638888,SP,BARRA DO TURVO,1,21.726030747336605,POINT (-48.41638888 -24.96305555)
2918,-18.99638888,-46.98583333,MG,PATROCINIO,1,21.93111311289441,POINT (-46.98583333 -18.99638888)
2282,-20.271094,-40.306069,ES,VITORIA,1,27.651671832856742,POINT (-40.306069 -20.271094)
204,-23.81083333,-45.4025,SP,SAO SEBASTIAO,1,26.66280240993185,POINT (-45.4025 -23.81083333)
2990,-18.830354,-41.977007,MG,GOVERNADOR VALADARES,1,26.72241291054836,POINT (-41.977007 -18.830354)
2258,-20.35972222,-47.77527777,SP,ITUVERAVA,1,24.43947879532496,POINT (-47.77527777 -20.35972222)
2954,-18.91722221,-48.25555555,MG,UBERLANDIA,1,23.818608228876307,POINT (-48.25555555 -18.91722221)
2858,-19.40722222,-40.53972221,ES,MARILANDIA,1,26.985080645161318,POINT (-40.53972221 -19.40722222)
3206,-18.2311111,-43.64805555,MG,DIAMANTINA,1,20.14117150245936,POINT (-43.64805555 -18.2311111)
